,Skills,Sub-skills,Goals,stage-1,stage-2,stage-3,stage-4,stage-5,stage-6
,,,,Compare important people in their communities with other important individuals in their own lives.,,,"Identify individuals who are recognised for their significant contributions to their communities and discuss other individuals who, in their view, should also receive such recognition.",,
,,,,Explain what is considered right and wrong in their communities.,,,Evaluate the rules for their communities.,,
,,,,Analyse how people in their communities try to correct something they have done wrong.,,,Analyse what happens when rules are broken in their community and country.,,
,,,Identity,Describe what makes each of us unique.,,,Explain the characteristics of a personal worldview.,,
,,,,Identify some of their own views.,,,Analyse their own beliefs and expectations.,,
,,,,Identify why they consider some things important and why these may be different for their friends.,,,Identify aspects of their own worldviews and those of others.,,
,,,,Identify where some of their own views come from.,,,Identify the impact of their local communities on their worldviews.,,
,,,,Develop an awareness of how their own views can change as they have new experiences.,,,Analyse how their views can change as they grow older.,,
,,,Money and trade,Recognise the national currency and describe what people use it for.,,,Analyse the role and purpose of money.,,
,,,,Identify the links between money and jobs.,,,Describe how employment forms a part of how a country or community makes and uses money and goods.,,
,,,,Analyse how people spend money and how some people do not have enough money to meet their needs.,,,Analyse ways in which people can spend their money in order to meet their needs.,,
,,,,Analyse how people earn money in their local area.,,,"Analyse the trades that exist in their country, and compare with another country.",,
,,,,Explain how and why people save money.,,,Explain how to manage a budget.,,
,,,,Identify why people help others.,,,Analyse how their local community cares for those who do not have enough money to meet their needs.,,
,,,Rights and responsibilities,Identify the difference between wants and needs.,,,Differentiate between what is essential for humans to live and what is desirable.,,
,,,,"Identify what rights and responsibilities they have in their families, school and community.",,,Analyse the link between rights and responsibilities.,,
,,,,Explain the reasons for the rules they have to follow.,,,Explain the law making process in their communities and country.,,
,,,Skills toolbox: People,Begin to understand and articulate their own views.,,,Recognise how their worldview will impact what they see as important.,,
,,,,Identify different opinions about a topic.,,,Make observations and discuss how different worldviews can impact the treatment of individuals within a society or community.,,
,,,,"Use simple questionnaires, interview questions and observation to gather data and report on a topic or issue while protecting personal information.",,,"Design simple questionnaires and interview questions and use data as evidence to answer an enquiry question, while maintaining appropriate confidentiality and data protection.",,
,,Past,Arts and sciences,"From a past context, describe one or more of the following: clothing, works of art, buildings.",,,"From a past context, explain the cultural significance of one or more of the following: fashion, works of art, architectural style.",,
,,,,"From a past context, describe one or more significant scientific discoveries or inventions.",,,"From a past context, explain how a scientific discovery or invention resulted in social change.",,
,,,,"From a past context, describe a treatment or set of treatments for a medical condition.",,,"From a past context, explain how new medical treatments and procedures helped improve people's health.",,
,,,Belief and culture,"From a past context, describe the key beliefs and practices of a belief system.",,,"From a past context, explain how a belief system shaped the organisation of a society.",,
,,,,"From a past context, describe some common cultural norms or practices.",,,"From a past context, explain the impact of culture on a society.",,
,,,,"From a past context, retell a story or set of stories.",,,"From a past context, explain the social significance of a story or set of stories.",,
,,,Conflict and resolution,"From a past context, explain why people fought each other in a war, conflict or rebellion.",,,"From a past context, explain the causes and impact of one or more of the following types of conflicts: military, civil, religious or cultural, revolutionary.",,
,,,,"From a past context, describe a conflict and its resolution through key events and battles.",,,"From a past context, explain the impact of a peace treaty on one or more of the parties involved.",,
,,,Economy and communications,"From a past context, describe what people ate and where the food came from.",,,"From a past context, describe the tools and materials that were used to produce food.",,
,,,,"From a past context, describe what could be bought at markets.",,,"From a past context, describe where the goods that were traded came from and how they were brought to market.",,
,,,,"From a past context, describe how people traded for goods and services.",,,"From a past context, explain the difference between bartering and a moneybased economy.",,
,,,,"From a past context, describe a form of written communication.",,,"From a past context, explain how the printing press changed communication in a society.",,
,,,,"From a past context, explain how messages were delivered between distant places before the invention of electronic forms of communication.",,,"From a past context, explain the consequences of the invention of electronic forms of communication.",,
,,,,,,,"From a past context, describe tools or machines that allowed people to do jobs more quickly or efficiently.",,
,,,Migrations and empires,"From a past context, describe a journey made by a group of people from one place to another.",,,"From a past context, explain why people migrated from one place to another.",,
,,,,"From a past context, describe some features of an empire.",,,"From a past context, analyse one or more of the following: how an empire was created, how an empire expanded, resistance by a conquered people, how an empire ended and its impact.",,
,,,,,,,"From a past context, describe different forms of colonial exploitation.",,
,,,Society and daily life,"From a past context, describe the daily lives of adults.",,,"From a past context, describe the social hierarchy.",,
,,,,"From a past context, describe the daily lives of children.",,,"From a past context, describe how children were educated.",,
,,,,"From a past context, describe how a society was governed.",,,"From a past context, explain how people gained the right to vote.",,
,,,,"From a past context, describe the different roles of men and women.",,,"From a past context, compare the roles of men and women across two or more societies.",,
,,,,"From a past context, describe an event in which an individual or group was treated unfairly.",,,"From a past context, describe the experiences of people who suffered discrimination.",,
,,,,"From a past context, explain the difference between a slave and a free person.",,,"From a past context, explain the economic and social effects of slavery on a society.",,
,,,Skills toolbox: Past,Use sources to develop an understanding of the past.,,,Use a variety of sources to understand the past and explain some of the issues using them.,,
,,,,Ask historical questions.,,,Ask historical questions that can be answered using the evidence available.,,
,,,,Develop a basic understanding of chronology.,,,Examine an interpretation of the past.,,
,,,,Explain how the past helps people understand the present.,,,Develop a secure chronological understanding of some historical periods and events.,,
,,,,,,,Explain how knowledge of the past helps people understand the present and make decisions.,,
,,Places,Economic development,Give examples of the types of work people do in their local area.,,,Describe the basic employment structure and types of work in their country.,,
,,,,Describe what one type of work involves.,,,Describe how the type of employment in one place has changed over the last 100 years.,,
,,,,,,,Use maps to describe variations in the income of countries across the world.,,
,,,Environment,Describe their local natural environment.,,,Describe the variety of biomes found in their continent.,,
,,,,Recognise some plants and animals found locally and state what they need to live.,,,Identify some plants and animals found in their own and a contrasting area and explain how they are adapted to their habitat.,,
,,,,Describe one problem in their local natural environment and its effects.,,,Explain the causes and effects of one threat to the environment in their country.,,
,,,Living places,Name and describe different types of settlement.,,,Describe and explain how settlements grow.,,
,,,,Draw a simple map of their local area.,,,Use maps to compare a rural area and urban area in their country.,,
,,,,Compare their local settlement with a settlement in another country.,,,Describe the distribution of settlements in their country.,,
,,,Physical features and processes,Identify some landscape features in their country.,,,Use maps to describe how the landscape varies across their continent.,,
,,,,Name the seven continents and five oceans and locate them on a world map or globe.,,,Name key lines of latitude and longitude and use them to describe location and distribution of key features in the world.,,
,,,,Describe how people use different physical features in their country.,,,Describe and explain how one physical environment changes over time.,,
,,,,,,,Describe the causes and effects of earthquakes or volcanic eruptions.,,
,,,Population and health,Describe and explain why household sizes change.,,,Describe and explain why national populations increase and decrease.,,
,,,,Explain why people move to live in a different place.,,,Explain the push and pull factors involved in internal or international migration.,,
,,,,List some ways we can look after ourselves and stay healthy.,,,Explain how people in their country can stay healthy and reduce the impact of disease.,,
,,,Sustainability,Describe how to help look after their home or school environment.,,,Suggest possible solutions to local or regional environmental issues.,,
,,,,Name different resources and describe how they are used in their local area.,,,Name different sources of energy and categorise them into renewable and nonrenewable.,,
,,,,,,,"Describe the main causes and effects of, and solutions to, climate change.",,
,,,,,,,Explain how one aspect of sustainable development applies to life in their region.,,
,,,Transport and travel,Name and describe different ways of travelling around their local area.,,,Explain how goods are transported locally and within their country.,,
,,,,Explain the advantages and disadvantages of different ways of travelling around their local area.,,,Explain the advantages and disadvantages of different types of national transport for people and goods.,,
,,,,Describe how people travel around the world.,,,Describe how goods are transported around the world.,,
,,,Weather and climate,Name and describe different types of weather.,,,Explain the difference between weather and climate.,,
,,,,Describe how the local weather changes over a year.,,,Use maps to describe how the climate varies across their country.,,
,,,,Explain how the weather affects people's daily lives.,,,Locate and describe three world climate zones.,,
,,,,Recognise that different parts of the world experience different types of weather.,,,"Describe how it rains in terms of evaporation, condensation and precipitation.",,
,,,,Recognise and name simple instruments for measuring the weather.,,,Measure temperature and rainfall using simple instruments and present the results.,,
,,,Skills toolbox: Places,Use simple directional language and four-point compass to describe location.,,,Use four- and eight-point compass to describe location.,,
,,,,"Use simple photographs, maps and plans to describe a local area and give directions.",,,Interpret a range of photographs and maps with symbols and a key to describe places and themes.,,
,,,,Use simple fieldwork techniques to find out about their local area.,,,"Collect, analyse and present fieldwork data.",,
,,,,,,,,,
,Global Perspectives,Analysis,Identifying perspectives,Say something known about an issue.,Recognise that different people know different things about an issue.,Recognise that people think different things about an issue.,,Identify some key points from different perspectives on the same issue within a source.,
,,,Interpreting data,Talk about information recorded in pictograms or graphic organisers.,Recognise that graphical and numerical data can show information about an issue.,Draw simple conclusions from graphical or numerical data.,,Find and interpret simple patterns in graphical or numerical data.,
,,,Making connections,"Talk about simple, personal consequences of own actions.","Talk about simple, personal consequences of own actions on others.",Talk about simple causes of personal actions and consequences on others.,,Talk about simple causes of a local issue and consequences on others.,
,,,Solving problems,Choose a possible solution to an issue from a range of actions given.,Suggest a personal action that could make a positive difference to an issue affecting self.,Suggest personal actions that could make a positive difference to an issue affecting others.,,Suggest and justify an action to make a positive difference to a local issue.,
,,Collaboration,Working together,"Work positively with others, sharing resources while working independently or with others.","Work positively with others, contributing to a shared outcome by carrying out tasks.","Work positively with team members, contributing ideas to improve teamwork or the shared outcome.",,"Work positively with team members, contributing useful ideas and helping to solve problems to improve teamwork or to achieve a shared outcome.",
,,,Being an effective team,,,The team allocates given tasks to team members to achieve a shared outcome.,,"The team plans and divides tasks fairly to achieve a shared outcome, considering the skills of team members and the time available, and manages disagreements.",
,,Communication,Communicating information,Answer questions with relevant information about a given issue.,"Talk about a given issue, giving relevant information.",Present information about a given issue clearly and with an appropriate structure.,,Present information clearly with an appropriate structure and with some reference to sources where appropriate.,
,,,Listening and responding,Listen to others in class discussions and respond with simple questions.,Listen to others in class discussions and respond with simple and relevant questions.,Listen to others in class discussions and respond with relevant ideas and questions.,,Listen to ideas and information about an issue and ask questions relevant to the issue.,
,,Evaluation,Evaluating sources,Select a source relevant to a given issue and explain reasons for choice.,"Suggest sources which might be relevant to an issue, explaining reasons for relevance.","Discuss a source, recognising the author's ideas about an issue.",,"Discuss a source, considering the author or purpose, and use this to comment on its strengths and limitations.",
,,,Evaluating perspectives and arguments,State an opinion about a given issue.,"Express an opinion about a given issue, giving reasons for opinion.","Express an opinion about another person's ideas on an issue, giving reasons for own opinion.",,"Discuss own opinion about another's perspective, identifying points you agree or disagree with.",
,,Reflection,Personal contribution,Identify personal contribution in the form of an action intended to help achieve a shared outcome.,Identify personal contribution in the form of an idea intended to help achieve a shared outcome.,Identify strengths and limitations of personal contribution to teamwork.,,Discuss the impact of personal contribution on teamwork.,
,,,Teamwork,Identify an action that someone else contributed to achieve a shared outcome.,Identify an idea that someone else contributed to achieve a shared outcome.,Identify how working together improved the shared outcome achieved.,,Identify benefits and challenges of working together to achieve a shared outcome.,
,,,Personal perspectives,Talk about what has been learned during an activity with support.,Talk about what has been learned during an activity.,Talk about what has been learned during an activity and consider how personal ideas have changed.,,Discuss ways that personal ideas may have been influenced by new information or the ideas of others.,
,,,Personal learning,Talk about something liked in a particular activity.,Talk about a particular activity that supported learning.,Identify which types of activities support learning.,,Identify skills learned or improved during an activity.,
,,Research,Constructing research questions,Ask basic questions about a given issue.,Ask focused questions about a given issue.,Construct own questions to aid understanding of an issue.,,Begin to construct research questions with support.,
,,,Information skills,Talk about information on a given issue in sources provided.,Locate relevant information in sources provided.,Locate relevant information and answers to questions within sources provided.,,Identify sources and locate relevant information and answers to questions within them.,
,,,Conducting research,Begin to participate in simple investigations and ask basic questions to find information and opinions.,"Conduct simple investigations, using interviews or questionnaires to find information and opinions.","Conduct investigations, using interviews or questionnaires, making observations and taking appropriate measurements.",,"Conduct investigations, using interviews or questionnaires to test a prediction or begin to answer a research question.",
,,,Recording findings,Record information on a given issue in pictograms or simple graphic organisers.,"Record findings from primary research in pictograms, simple tables or graphic organisers.","Select, organise and record information from sources and findings from primary research in simple charts or diagrams.",,"Select, organise and record relevant information from sources and findings from primary research, using an appropriate method.",
,,,,,,,,,
,Digital Literacy,Tools and Content Creation,Tools and Content Creation,Know how to switch on and log onto a computer using their own password.,"Use devices to take or record digitised media, including photography, audio and video.",Develop fluency and accuracy when typing in increasing quantity.,Develop fluency and accuracy when typing in increasing quantity.,Develop fluency and accuracy when typing in increasing quantity.,Develop fluency and accuracy when typing in increasing quantity.
,,,,Know how to save and open documents.,"Find, open, save and delete documents within a folder structure.","Know what shortcuts are and be able to use shortcuts for cut, copy, paste, save, undo and re-do.","Know what shortcuts are and be able use shortcuts for cut, copy, paste, save, undo, re-do and help.","Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia.","Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia."
,,,,"Know how to interact with onscreen items through clicking, tapping, dragging, dropping, scrolling, and swiping.","Recognise onscreen navigation symbols, including  ←, →",Identify and use spell-checking and proof-reading tools.,"Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia.",Know ways to transfer files across devices.,Identify and use online and offline sources of help for using one or more applications.
,,,,"Enter familiar words, using a physical or digital keyboard, into a word processor.","Begin to use menus to find and use the cut, copy and paste functions, and to open dropdowns.",Identify common features of onscreen layouts and icons across a range of applications.,Understand how to create a folder structure and how to name folders and documents.,"Locate and use standard tools on a device, e.g. the calculator and calendar.",Insert hyperlinks into a document.
,,,,"Identify, locate and use modifier keys on a physical or digital keyboard, for example by using Shift and Caps Lock.","Enter familiar words, using a physical or digital keyboard, into a word processor.",Add images to a document.,Insert and complete a table within a text document.,"Edit images by changing colour, size and by cropping.",Create and edit a text document to meet a brief.
,,,,,"Change the appearance of text by exploring the available tools, for example by changing the colour, size and font type.","Compose, read, respond to and share online messages with specific individuals and with groups.","Edit, and organise, the layout of a document.",Use search functions within applications to find information.,Understand the importance of using a variety of different search strategies.
,,,,,"Know a hyperlink connects websites and pages and can be linked to an icon, text or image.",Use keywords to search for information in a search tool.,"Know that web pages have addresses known as URLs, and know how to bookmark these.",,
,,,,,,Navigate storage hierarchy appropriate to the device.,,,
,,Safety and Wellbeing,Safety and Wellbeing,Know what a password is and describe why passwords are useful.,Understand that users can have many accounts and can choose what information to put into each one.,Know that their information is personal and identify the risks of sharing that information online.,Know how to set secure and memorable passwords and understand why this is necessary.,Understand the need to set security and privacy settings to ensure that only content they want people to access is seen.,Understand that any device connected to the internet is vulnerable to attack from malware.
,,,,"Know how to report digital content, or activity, that makes them feel unsafe or uncomfortable.",Understand that there is a risk people online are not who they say they are.,"Safely engage in online spaces, including in group chats, being aware that personal information and identifying photographs and/or videos should not be shared.",Understand that online content is stored and is hard to remove.,"Understand that what a user does online can have positive and negative consequences for themselves and for others, both online and offline.",Recognise that opinions expressed online can be misinterpreted by others.
,,,,,,Know that device use can be monitored.,Treat others respectfully online and know that they should also be treated with respect.,Understand the risks of engaging with people online that they do not know.,"Understand that a digital footprint is a record of online activity, including the sharing of images, videos, information or opinions."
,,,,,,"Understand that people can be upset by things said to, or about, them.","Know that any images, videos, information or opinion shared online can be kept and shared further.",Know that online content can be published and accessed instantly.,Understand that any content shared online can be copied to other locations and used by other people.
,,,,,,,Know the benefits and risks of online anonymity.,Recognise that cyberbullying takes place online and can take many forms.,"Understand that offensive and illegal online behaviour, which includes cyberbullying, should be reported and that there are formal procedures for this."
,,,,,,,,Recognise the implications of overusing devices.,"Describe ways to protect their safety and wellbeing before, during and after digital activity."
,,The Digital World,The Digital World,Understand that online content is presented on interconnected websites and pages.,Know that digital technology can give access to a wide variety of information.,"Understand that people create online content for a purpose, including advertising, expressing their opinions and sharing information.",Recognise that online content may provide false information with the intent to deceive.,Describe the benefits and risks of instant online communication.,Understand that restrictions apply to the copying of online content.
,,,,"Know there are a range of devices that are all computers, including; personal computers, laptops, tablets and mobile telephones.",Understand that the internet is a network and that it has physical parts.,Know that computers and their use has changed over time.,Know that digital communication enables online communities to exist.,Describe key benefits of computer use to society and individuals.,Describe how the internet has changed the way in which people shop.
,,,,"Identify the visible components of computing systems, including; computer, keyboard, mouse, screen, touch pad, headphones, speaker, camera and microphone.",Understand that technology can be used to communicate locally and globally.,,Understand that online communication has changed the way people interact.,Understand that some hardware and software can be incompatible with other hardware and software.,Describe how online streaming has changed how people access media and entertainment.
,,,,Identify the tasks that devices are used for at home.,Describe the difference between hardware and software.,,Know that software requires specific hardware to operate.,,Understand how digital technology can be disruptive.
,,,,,,,,,
